number of controls,Q,Depth,Gittins,MDP,Number of MDP states
7,26,5,0.001195,0.006481,208
8,29,5,0.001478,0.022335,2598
11,43,5,0.000516,220.497008,4839996
11,11,4,0.000167,1.039964,2172
12,37,6,0.000615,9.378660,299468
18,18,13,0.000171,13.174500,196596
45,45,44,0.000241,TIMEOUT,NA
25,25,24,0.000169,-1,>5000000
9,9,8,0.000068,0.012721,511
27,27,18,0.000398,-1,>5000000
6,6,4,0.000128,0.000149,24
21,21,11,0.000526,245.510929,3537279
22,22,20,0.000154,532.606424,4194302
53,53,27,0.001374,-1,>5000000
25,25,20,0.000195,-1,>5000000
10,10,9,0.000071,0.029383,1023
23,23,22,0.000135,-1,>5000000
34,34,33,0.000205,TIMEOUT,NA
22,22,20,0.000155,534.461020,4194302
23,23,18,0.000191,-1,>5000000
30,30,29,0.000177,TIMEOUT,NA
16,16,15,0.000106,6.669096,65535
27,27,10,0.000399,-1,>5000000
